,Unnamed: 0,Handle,Option2 Value,Option2 Name
0,0,floral-print-o-neck-maxi-dress,Size,S
1,1,floral-print-o-neck-maxi-dress,Size,M
2,2,floral-print-o-neck-maxi-dress,Size,L
3,3,floral-print-o-neck-maxi-dress,Size,XL
4,4,floral-print-o-neck-maxi-dress,Size,XXL
5,5,long-sleeve-flower-print-loose-dress,Size,S
6,6,long-sleeve-flower-print-loose-dress,Size,M
7,7,long-sleeve-flower-print-loose-dress,Size,L
8,8,long-sleeve-flower-print-loose-dress,Size,XL
9,9,long-sleeve-flower-print-loose-dress,Size,XXL
10,10,flower-printing-long-sleeve-dress,Size,S
11,11,flower-printing-long-sleeve-dress,Size,M
12,12,flower-printing-long-sleeve-dress,Size,L
13,13,flower-printing-long-sleeve-dress,Size,XL
14,14,flower-printing-long-sleeve-dress,Size,XXL
15,15,flower-printing-long-sleeve-dress,Size,3XL
16,16,flower-printing-long-sleeve-dress,Size,4XL
17,17,flower-printing-long-sleeve-dress,Size,5XL
18,18,loosen-lace-spring-dresses,Size,S
19,19,loosen-lace-spring-dresses,Size,M
20,20,loosen-lace-spring-dresses,Size,L
21,21,loosen-lace-spring-dresses,Size,XL
22,22,loosen-lace-spring-dresses,Size,2XL
23,23,vintage-floral-mosaic-holiday-long-sleeve-dress,Size,S
24,24,vintage-floral-mosaic-holiday-long-sleeve-dress,Size,M
25,25,vintage-floral-mosaic-holiday-long-sleeve-dress,Size,L
26,26,vintage-floral-mosaic-holiday-long-sleeve-dress,Size,XL
27,27,vintage-floral-mosaic-holiday-long-sleeve-dress,Size,2XL
28,28,vintage-floral-mosaic-holiday-long-sleeve-dress,Size,3XL
29,29,vintage-floral-mosaic-holiday-long-sleeve-dress,Size,4XL
30,30,vintage-floral-mosaic-holiday-long-sleeve-dress,Size,5XL
31,31,leopard-print-maxi-dress,Size,S
32,32,leopard-print-maxi-dress,Size,M
33,33,leopard-print-maxi-dress,Size,L
34,34,leopard-print-maxi-dress,Size,XL
35,35,leopard-print-maxi-dress,Size,2XL
36,36,leopard-print-maxi-dress,Size,3XL
37,37,leopard-print-maxi-dress,Size,4XL
38,38,leopard-print-maxi-dress,Size,5XL
39,39,never-letting-go-white-shirtdress,Size,S
40,40,never-letting-go-white-shirtdress,Size,M
41,41,never-letting-go-white-shirtdress,Size,L
42,42,never-letting-go-white-shirtdress,Size,XL
43,43,never-letting-go-white-shirtdress,Size,2XL
44,44,vintage-elegant-floral-long-sleeves-a-line-casual-dresses,Size,S
45,45,vintage-elegant-floral-long-sleeves-a-line-casual-dresses,Size,M
46,46,vintage-elegant-floral-long-sleeves-a-line-casual-dresses,Size,L
47,47,vintage-elegant-floral-long-sleeves-a-line-casual-dresses,Size,XL
48,48,vintage-floral-long-sleeves-dresses,Size,S
49,49,vintage-floral-long-sleeves-dresses,Size,M
50,50,vintage-floral-long-sleeves-dresses,Size,L
51,51,vintage-floral-long-sleeves-dresses,Size,XL
52,52,vintage-floral-long-sleeves-dresses,Size,XXL
53,53,vintage-floral-long-sleeves-dresses,Size,3XL
54,54,vintage-floral-long-sleeves-dresses,Size,4XL
55,55,vintage-floral-long-sleeves-dresses,Size,5XL
56,56,casual-floral-cotton-long-maxi-blue-dresses,Size,S
57,57,casual-floral-cotton-long-maxi-blue-dresses,Size,M
58,58,casual-floral-cotton-long-maxi-blue-dresses,Size,L
59,59,casual-floral-cotton-long-maxi-blue-dresses,Size,XL
60,60,casual-floral-cotton-long-maxi-blue-dresses,Size,XXL
61,61,casual-floral-cotton-long-maxi-blue-dresses,Size,3XL
62,62,vintage-flower-print-a-line-dress,Size,S
63,63,vintage-flower-print-a-line-dress,Size,M
64,64,vintage-flower-print-a-line-dress,Size,L
65,65,vintage-flower-print-a-line-dress,Size,XL
66,66,vintage-flower-print-a-line-dress,Size,XXL
67,67,vintage-flower-print-a-line-dress,Size,3XL
68,68,boho-printing-long-sleeve-dress,Size,S
69,69,boho-printing-long-sleeve-dress,Size,M
70,70,boho-printing-long-sleeve-dress,Size,L
71,71,boho-printing-long-sleeve-dress,Size,XL
72,72,boho-printing-long-sleeve-dress,Size,XXL
73,73,boho-printing-long-sleeve-dress,Size,3XL
74,74,boho-printing-long-sleeve-dress,Size,4XL
75,75,boho-printing-long-sleeve-dress,Size,5XL
76,76,cotton-polka-dot-baggy-sarafans-vestidos-robe-maxi-dress,Size,S
77,77,cotton-polka-dot-baggy-sarafans-vestidos-robe-maxi-dress,Size,M
78,78,cotton-polka-dot-baggy-sarafans-vestidos-robe-maxi-dress,Size,L
79,79,cotton-polka-dot-baggy-sarafans-vestidos-robe-maxi-dress,Size,XL
80,80,cotton-polka-dot-baggy-sarafans-vestidos-robe-maxi-dress,Size,XXL
81,81,cotton-polka-dot-baggy-sarafans-vestidos-robe-maxi-dress,Size,3XL
82,82,cotton-v-neck-puff-sleeve-vintage-elastic-cuff-women-dress,Size,S
83,83,cotton-v-neck-puff-sleeve-vintage-elastic-cuff-women-dress,Size,M
84,84,cotton-v-neck-puff-sleeve-vintage-elastic-cuff-women-dress,Size,L
85,85,cotton-v-neck-puff-sleeve-vintage-elastic-cuff-women-dress,Size,XL
86,86,cotton-v-neck-puff-sleeve-vintage-elastic-cuff-women-dress,Size,XXL
87,87,cotton-v-neck-puff-sleeve-vintage-elastic-cuff-women-dress,Size,3XL
88,88,long-sleeve-casual-long-pocket-dress,Size,S
89,89,long-sleeve-casual-long-pocket-dress,Size,M
90,90,long-sleeve-casual-long-pocket-dress,Size,L
91,91,long-sleeve-casual-long-pocket-dress,Size,XL
92,92,long-sleeve-casual-long-pocket-dress,Size,XXL
93,93,long-sleeve-casual-long-pocket-dress,Size,3XL
94,94,long-sleeve-casual-long-pocket-dress,Size,4XL
95,95,long-sleeve-casual-long-pocket-dress,Size,5XL
